busco_id	assembly	Sequence	start	end	Merian	short_species_id	multispecies_sequence	nGenes	mxGpos	count
10650at7088	Diarsia_rubi	OW026414.1	9175881	9180151	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10650at7088	Micropterix_aruncella	OX155968.1	8410457	8422210	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10650at7088	Limnephilus_rhombicus	OV815292.1	19856346	19866985	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10650at7088	Tinea_trinotella	HG992312.1	4691147	4693482	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10699at7088	Melitaea_cinxia	HG992211.1	17121923	17127661	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
10699at7088	Diarsia_rubi	OW026414.1	19243377	19247743	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
10699at7088	Tinea_trinotella	HG992312.1	12389125	12394359	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
10699at7088	Glyphotaelius_pellucidus	OW386562.1	5276855	5289098	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
10699at7088	Micropterix_aruncella	OX155973.1	43366	71954	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
10699at7088	Limnephilus_rhombicus	OV815294.1	24829396	24867759	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10904at7088	Diarsia_rubi	OW026414.1	4189182	4201618	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10904at7088	Micropterix_aruncella	OX155968.1	654252	669486	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10904at7088	Melitaea_cinxia	HG992211.1	3574859	3597244	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10904at7088	Tinea_trinotella	HG992312.1	1804254	1813571	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10916at7088	Diarsia_rubi	OW026414.1	20052944	20056178	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
10916at7088	Limnephilus_rhombicus	OV815294.1	29138780	29146881	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
10916at7088	Glyphotaelius_pellucidus	OW386562.1	8266873	8276040	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
10916at7088	Melitaea_cinxia	HG992211.1	17734341	17738411	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
10916at7088	Tinea_trinotella	HG992312.1	12860379	12865567	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
10916at7088	Micropterix_aruncella	OX155973.1	4059981	4071414	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
10936at7088	Limnephilus_rhombicus	OV815292.1	1780307	1785296	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10936at7088	Micropterix_aruncella	OX155968.1	19648143	19661386	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10936at7088	Glyphotaelius_pellucidus	OW386559.1	9904993	9909121	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10936at7088	Diarsia_rubi	OW026414.1	7583447	7585020	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10936at7088	Tinea_trinotella	HG992312.1	3587463	3590530	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10936at7088	Melitaea_cinxia	HG992211.1	6189226	6191180	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10939at7088	Diarsia_rubi	OW026414.1	12053462	12063162	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10939at7088	Micropterix_aruncella	OX155968.1	4135113	4147202	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
10939at7088	Tinea_trinotella	HG992312.1	7426447	7433782	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
10939at7088	Limnephilus_rhombicus	OV815292.1	35659284	35669929	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10939at7088	Glyphotaelius_pellucidus	OW386559.1	15027466	15038275	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10939at7088	Melitaea_cinxia	HG992211.1	10758149	10769295	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
10952at7088	Glyphotaelius_pellucidus	OW386559.1	24960393	24962547	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
10952at7088	Limnephilus_rhombicus	OV815292.1	42597131	42599513	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
10952at7088	Diarsia_rubi	OW026414.1	8538611	8539837	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
10952at7088	Melitaea_cinxia	HG992211.1	7121886	7123009	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11023at7088	Tinea_trinotella	HG992312.1	9566674	9568481	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11023at7088	Melitaea_cinxia	HG992211.1	13794146	13795092	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11023at7088	Micropterix_aruncella	OX155973.1	678478	686670	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11023at7088	Diarsia_rubi	OW026414.1	15033465	15034395	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11023at7088	Glyphotaelius_pellucidus	OW386562.1	20766641	20767333	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
11023at7088	Limnephilus_rhombicus	OV815294.1	18174721	18175425	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
11111at7088	Tinea_trinotella	HG992312.1	13106981	13109484	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11111at7088	Micropterix_aruncella	OX155973.1	7824438	7832947	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11111at7088	Melitaea_cinxia	HG992211.1	18046351	18048581	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11111at7088	Diarsia_rubi	OW026414.1	20500926	20504513	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11124at7088	Limnephilus_rhombicus	OV815292.1	35962564	35967286	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11124at7088	Tinea_trinotella	HG992312.1	2293915	2297555	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11124at7088	Melitaea_cinxia	HG992211.1	4372678	4375626	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11124at7088	Micropterix_aruncella	OX155968.1	2766511	2783063	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11124at7088	Diarsia_rubi	OW026414.1	5150958	5156325	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11124at7088	Glyphotaelius_pellucidus	OW386559.1	15214084	15219032	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
11274at7088	Glyphotaelius_pellucidus	OW386559.1	407712	410552	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
11274at7088	Tinea_trinotella	HG992312.1	3131243	3135123	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11274at7088	Diarsia_rubi	OW026414.1	6907293	6935906	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11274at7088	Limnephilus_rhombicus	OV815292.1	16899872	16902396	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11274at7088	Melitaea_cinxia	HG992211.1	5646697	5650942	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
112at7088	Tinea_trinotella	HG992312.1	6055634	6096564	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
112at7088	Diarsia_rubi	OW026414.1	10476881	10503996	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
112at7088	Melitaea_cinxia	HG992211.1	9060501	9089491	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
112at7088	Glyphotaelius_pellucidus	OW386559.1	27957767	28026617	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
112at7088	Micropterix_aruncella	OX155968.1	7127668	7238912	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
112at7088	Limnephilus_rhombicus	OV815292.1	17451876	17559524	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11311at7088	Micropterix_aruncella	OX155968.1	334836	339835	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11311at7088	Melitaea_cinxia	HG992211.1	5607845	5609113	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11311at7088	Diarsia_rubi	OW026414.1	6746542	6750503	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11311at7088	Limnephilus_rhombicus	OV815292.1	17246433	17255502	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11311at7088	Tinea_trinotella	HG992312.1	3082138	3084500	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11311at7088	Glyphotaelius_pellucidus	OW386559.1	156602	159754	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
1131at7088	Diarsia_rubi	OW026414.1	1196293	1267480	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
1131at7088	Glyphotaelius_pellucidus	OW386559.1	2452322	2664055	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
1131at7088	Micropterix_aruncella	OX155968.1	18875351	18950018	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
1131at7088	Melitaea_cinxia	HG992211.1	1236963	1312274	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
1131at7088	Limnephilus_rhombicus	OV815292.1	13209159	13491746	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
1131at7088	Tinea_trinotella	HG992312.1	417377	447266	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11375at7088	Tinea_trinotella	HG992312.1	4116197	4118305	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11375at7088	Micropterix_aruncella	OX155968.1	1841504	1845667	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11375at7088	Melitaea_cinxia	HG992211.1	6870977	6874620	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11375at7088	Glyphotaelius_pellucidus	OW386559.1	12625566	12630700	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
11375at7088	Limnephilus_rhombicus	OV815292.1	24183688	24188294	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11375at7088	Diarsia_rubi	OW026414.1	8220223	8221431	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11378at7088	Melitaea_cinxia	HG992211.1	10877808	10882013	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11378at7088	Tinea_trinotella	HG992312.1	7489014	7490628	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11378at7088	Micropterix_aruncella	OX155968.1	4005549	4012623	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11378at7088	Diarsia_rubi	OW026414.1	12124454	12125942	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11416at7088	Limnephilus_rhombicus	OV815292.1	5102071	5116394	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11416at7088	Glyphotaelius_pellucidus	OW386559.1	7676681	7681886	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
11416at7088	Melitaea_cinxia	HG992211.1	398625	406733	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11416at7088	Tinea_trinotella	HG992312.1	122322	123651	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11416at7088	Diarsia_rubi	OW026414.1	372643	376458	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11416at7088	Micropterix_aruncella	OX155968.1	12158057	12174210	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11501at7088	Tinea_trinotella	HG992312.1	14416033	14417850	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11501at7088	Micropterix_aruncella	OX155973.1	9844069	9878691	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11501at7088	Melitaea_cinxia	HG992211.1	19420610	19422596	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11501at7088	Glyphotaelius_pellucidus	OW386562.1	2760828	2792532	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
11501at7088	Limnephilus_rhombicus	OV815294.1	41371496	41447777	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
11501at7088	Diarsia_rubi	OW026414.1	22403657	22426868	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11507at7088	Diarsia_rubi	OW026414.1	4416566	4443086	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11507at7088	Micropterix_aruncella	OX155968.1	2675750	2719616	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11507at7088	Tinea_trinotella	HG992312.1	1918648	1941357	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11507at7088	Melitaea_cinxia	HG992211.1	3813905	3836021	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11507at7088	Limnephilus_rhombicus	OV815292.1	32393415	32438356	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11507at7088	Glyphotaelius_pellucidus	OW386559.1	16680742	16707562	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
11587at7088	Limnephilus_rhombicus	OV815294.1	27010963	27025706	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
11587at7088	Melitaea_cinxia	HG992211.1	14539496	14555093	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11587at7088	Micropterix_aruncella	OX155973.1	6053768	6067400	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11587at7088	Glyphotaelius_pellucidus	OW386562.1	9679873	9688345	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
11587at7088	Diarsia_rubi	OW026414.1	15862381	15865702	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11587at7088	Tinea_trinotella	HG992312.1	10125410	10129484	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11662at7088	Glyphotaelius_pellucidus	OW386562.1	13461063	13466868	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
11662at7088	Diarsia_rubi	OW026414.1	22972745	22974721	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11662at7088	Limnephilus_rhombicus	OV815294.1	5439400	5446372	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
11662at7088	Melitaea_cinxia	HG992211.1	19926472	19929777	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11662at7088	Micropterix_aruncella	OX155973.1	11366992	11375461	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11662at7088	Tinea_trinotella	HG992312.1	14781736	14783623	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11702at7088	Diarsia_rubi	OW026414.1	12730958	12748613	M17	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	126
11702at7088	Limnephilus_rhombicus	OV815292.1	38024212	38034062	M17	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815292.1	120	46176005	117
11702at7088	Micropterix_aruncella	OX155968.1	26478655	26501861	M17	Micropterix_aruncella	Micropterix_aruncella_OX155968.1	128	28581757	120
11702at7088	Tinea_trinotella	HG992312.1	7804298	7809468	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
11702at7088	Glyphotaelius_pellucidus	OW386559.1	10989913	10997145	M17	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386559.1	120	28043415	117
11702at7088	Melitaea_cinxia	HG992211.1	11409137	11420745	M17	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	124
11764at7088	Micropterix_aruncella	OX155973.1	14394304	14403695	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11764at7088	Melitaea_cinxia	HG992211.1	20220295	20221043	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11764at7088	Tinea_trinotella	HG992312.1	14944676	14945375	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11764at7088	Diarsia_rubi	OW026414.1	23314740	23315604	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11785at7088	Limnephilus_rhombicus	OV815294.1	38419415	38423279	M20	Limnephilus_rhombicus	Limnephilus_rhombicus_OV815294.1	104	42658195	99
11785at7088	Glyphotaelius_pellucidus	OW386562.1	1492400	1501361	M20	Glyphotaelius_pellucidus	Glyphotaelius_pellucidus_OW386562.1	103	22094364	98
11785at7088	Diarsia_rubi	OW026414.1	19249378	19251893	M20	Diarsia_rubi	Diarsia_rubi_OW026414.1	239	23329533	105
11785at7088	Tinea_trinotella	HG992312.1	12395878	12397651	M20	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	105
11785at7088	Micropterix_aruncella	OX155973.1	20221998	20239889	M20	Micropterix_aruncella	Micropterix_aruncella_OX155973.1	104	24375131	97
11785at7088	Melitaea_cinxia	HG992211.1	17131536	17134133	M20	Melitaea_cinxia	Melitaea_cinxia_HG992211.1	238	20234479	106
11799at7088	Tinea_trinotella	HG992312.1	7441958	7443407	M17	Tinea_trinotella	Tinea_trinotella_HG992312.1	241	14949437	126
