assigned_ref_chr	species	chr	length	genome_size	prop_length	status	Merian_f	num_obs
M1	Mellicta_athalia	HG992179.1	23648884	609564786	3.87963421495939	ancestral	M1	183
M1	Mythimna_albipuncta	OV815965.1	25139009	698566279	3.59865767296792	ancestral	M1	183
M1	Lasiommata_megera	OV743309.1	20533939	488457974	4.20382921213197	ancestral	M1	183
M1	Pandemis_cinnamomeana	OW028703.1	17940044	426135498	4.20993887723477	ancestral	M1	183
M1	Opisthograptis_luteolata	OV928034.1	15554262	363201500	4.28254343663228	ancestral	M1	183
M1	Eilema_depressum	OU612015.1	25673470	622022279	4.12741968684372	ancestral	M1	183
M1	Melanargia_galathea	OV049862.1	26080669	606376002	4.30107209288932	ancestral	M1	183
M1	Omphaloscelis_lunosa	OU744249.1	23952918	661874710	3.61895048082438	ancestral	M1	183
M1	Miltochrista_miniata	OW121751.1	41831067	1057002560	3.95751804044827	ancestral	M1	183
M1	Macaria_notata	OV656729.1	15106367	393787475	3.83617254459401	ancestral	M1	183
M1	Clostera_curtula	FR997796.1	21744772	512681271	4.24138216666003	ancestral	M1	183
M1	Chloroclysta_siterata	OW028600.1	18238315	437887824	4.16506557167938	ancestral	M1	183
M1	Plutella_xylostella	OW026557.1	12543683	323337879	3.8794350475714	ancestral	M1	183
M1	Acronicta_aceris	OU342759.1	18581257	466384436	3.98410743706722	ancestral	M1	183
M1	Euproctis_similis	LR990112.1	24449160	507648523	4.81615899432056	ancestral	M1	183
M1	Xestia_c-nigrum	OU745254.1	26052828	760318956	3.4265656267552	ancestral	M1	183
M1	Inachis_io	LR989898.1	14762480	384172283	3.84267180461845	ancestral	M1	183
M1	Agonopterix_arenella	OV656694.1	20870248	545825857	3.82360925785163	ancestral	M1	183
M1	Hydraecia_micacea	OU611778.1	20849173	562441436	3.7069055843887	ancestral	M1	183
M1	Phragmatobia_fuliginosa	OW052059.1	25899328	629457366	4.11454840294934	ancestral	M1	183
M1	Meganola_albula	OW388144.1	16890465	405261716	4.16779190660092	ancestral	M1	183
M1	Hyles_euphorbiae	CM041032.1	20022273	504323440	3.97012540206341	ancestral	M1	183
M1	Colias_croceus	HG991961.1	13170806	324912214	4.05365062699674	ancestral	M1	183
M1	Mythimna_impura	LR990348.1	31297871	949131758	3.29752647471733	ancestral	M1	183
M1	Tinea_trinotella	HG992307.1	15750547	371738977	4.23699100027383	ancestral	M1	183
M1	Limenitis_camilla	LR990227.1	16578935	435112716	3.81026212067771	ancestral	M1	183
M1	Gymnoscelis_rufifasciata	OV815305.1	17457618	462009964	3.77862370085161	ancestral	M1	183
M1	Notodonta_dromedarius	LR990159.1	14515539	341992784	4.2443992034639	ancestral	M1	183
M1	Thera_britannica	OW618047.1	15829571	379777695	4.1681149810549	ancestral	M1	183
M1	Spilarctia_lutea	OU696473.1	23130849	584787352	3.95542908390399	ancestral	M1	183
M1	Laothoe_populi	HG992151.1	23181524	576402658	4.02175869216759	ancestral	M1	183
M1	Xylocampa_areola	OW285203.1	22857338	564568605	4.04863780904005	ancestral	M1	183
M1	Agriphila_geniculea	OX038873.1	30246175	781653547	3.8695116418374	ancestral	M1	183
M1	Ecliptopera_silaceata	OW052192.1	13076961	316552688	4.13105353254811	ancestral	M1	183
M1	Habrosyne_pyritoides	OU015586.1	16396509	400568986	4.09330466737632	ancestral	M1	183
M1	Catocala_fraxini	OV884029.1	29811159	780602067	3.81899565223672	ancestral	M1	183
M1	Luperina_testacea	OV656760.1	23306559	601512407	3.87465972917164	ancestral	M1	183
M1	Epinotia_nisella	OW028677.1	25117914	585001234	4.29365145578479	ancestral	M1	183
M1	Yponomeuta_sedellus	OW203725.1	25987500	657583382	3.9519703069382	ancestral	M1	183
M1	Pheosia_gnoma	FR989894.1	11949387	271350489	4.40367255059562	ancestral	M1	183
M1	Craniophora_ligustri	LR990956.1	17354943	437993611	3.96237355160872	ancestral	M1	183
M1	Euclidia_mi	OX123196.1	72083664	2285329669	3.15419105513744	ancestral	M1	183
M1	Zygaena_filipendulae	OU015649.1	16101494	365946273	4.39996119321046	ancestral	M1	183
M1	Ypsolopha_sequella	OW203992.1	30634450	866879050	3.53387822672609	ancestral	M1	183
M1	Iphiclides_podalirius	OW152816.1	17990613	430729501	4.17677752701689	ancestral	M1	183
M1	Vanessa_cardui	LR999931.1	15572524	424813635	3.66573073860965	ancestral	M1	183
M1	Hylaea_fasciaria	LR990195.1	13486686	327936668	4.11258859286818	ancestral	M1	183
M1	Erebia_aethiops	OV281090.1	20147788	473469105	4.25535431715233	ancestral	M1	183
M1	Spilosoma_lubricipeda	HG992279.1	23768218	587362176	4.0466034367184	ancestral	M1	183
M1	Autographa_pulchrina	FR997765.1	15020473	426240943	3.52393951042849	ancestral	M1	183
M1	Hyles_vespertilio	CM042807.1	25450662	651427907	3.90690385329163	ancestral	M1	183
M1	Hypena_proboscidalis	LR990130.1	24039576	636786269	3.77514044669201	ancestral	M1	183
M1	Campaea_margaritaria	OU538790.1	13820556	335226495	4.12275169359749	ancestral	M1	183
M1	Erynnis_tages	LR990072.1	14998646	329358918	4.55389096219948	ancestral	M1	183
M1	Thyatira_batis	LR990486.1	13794500	314798901	4.38200386220535	ancestral	M1	183
M1	Selenia_dentaria	OU862882.1	39941901	1030772253	3.87494918336728	ancestral	M1	183
M1	Mesoligia_furuncula	OU744802.1	30604060	889627388	3.44009867645846	ancestral	M1	183
M1	Autographa_gamma	LR989852.1	13795857	373067087	3.69795607297837	ancestral	M1	183
M1	Zeuzera_pyrina	OU015618.1	29073510	686903256	4.23254799654058	ancestral	M1	183
M1	Dendrolimus_kikuchii	CM034390.1	29261876	705515768	4.14758639384513	ancestral	M1	183
M1	Atethmia_centrago	HG995375.1	32769878	926655388	3.5363608116203	ancestral	M1	183
M1	Agrochola_circellaris	OU611846.1	20693888	572162832	3.61678299299246	ancestral	M1	183
M1	Notodonta_ziczac	OU974037.1	14880619	352061436	4.22671087440545	ancestral	M1	183
M1	Agonopterix_subpropinquella	OV277699.1	26046159	667905724	3.89967596684349	ancestral	M1	183
M1	Ectropis_grisescens	CM029770.1	29747852	784886525	3.79008315883624	ancestral	M1	183
M1	Protodeltote_pygarga	OW388250.1	17097960	421684553	4.05468018175188	ancestral	M1	183
M1	Endotricha_flammealis	LR990856.1	18191273	473948990	3.83823436357571	ancestral	M1	183
M1	Boloria_selene	HG993134.1	15707953	399917640	3.92779698339888	ancestral	M1	183
M1	Aporophyla_lueneburgensis	OW028747.1	31889202	978307447	3.25962989424121	ancestral	M1	183
M1	Pyrgus_malvae	OU426949.1	30482882	724649524	4.20656896753858	ancestral	M1	183
M1	Eupsilia_transversa	OU611877.1	17255608	466922763	3.69560222104657	ancestral	M1	183
M1	Chrysoteuchia_culmella	OU342643.1	26393381	645226651	4.09055964428847	ancestral	M1	183
M1	Blastobasis_lacticolella	LR990043.1	23190880	577083784	4.01863310718154	ancestral	M1	183
M1	Marasmarcha_lunaedactyla	OV281346.1	29477615	771099907	3.82280100573271	ancestral	M1	183
M1	Acleris_emargana	OV656836.1	27915350	691448280	4.03722893055718	ancestral	M1	183
M1	Danaus_plexippus_plexippus	CM019187.1	10184249	248676414	4.09538196091246	ancestral	M1	183
M1	Helicoverpa_zea	CM040205.1	14695159	375180944	3.9168191335432	ancestral	M1	183
M1	Manduca_sexta	CM026254.1	16902208	470021481	3.59605011329259	ancestral	M1	183
M1	Dryas_iulia_moderata	CM032416.1	16168519	440278161	3.67234181302034	ancestral	M1	183
M1	Ephestia_elutella	CM031567.1	20528100	576941106	3.55809280817651	ancestral	M1	183
M1	Grapholita_molesta	CP053124.1	22511352	517710462	4.3482513204456	ancestral	M1	183
M1	Fabriciana_adippe	FR989986.1	18815940	484826487	3.88096370650641	ancestral	M1	183
M1	Acentria_ephemerella	OW971875.1	15197173	340792766	4.45935903463397	ancestral	M1	183
M1	Cosmia_trapezina	LR991023.1	30742391	825187588	3.72550332155505	ancestral	M1	183
M1	Noctua_pronuba	LR999897.1	18678442	529194529	3.52959847020641	ancestral	M1	183
M1	Maniola_jurtina	HG995207.1	17318487	402054102	4.30750163071337	ancestral	M1	183
M1	Agriphila_tristella	OV743438.1	31474245	801775791	3.92556689205399	ancestral	M1	183
M1	Notocelia_uddmanniana	LR991056.1	33907723	794123667	4.26982904666409	ancestral	M1	183
M1	Amphipyra_tragopoginis	HG992000.1	29070557	805668602	3.60825244124383	ancestral	M1	183
M1	Hemaris_fuciformis	OU015435.1	18480616	448853392	4.11729449512548	ancestral	M1	183
M1	Spodoptera_frugiperda	CM021682.1	15401284	485954603	3.16928451853763	ancestral	M1	183
M1	Hesperia_comma	FR990016.1	22044472	525353014	4.19612554083491	ancestral	M1	183
M1	Apotomis_turbidana	LR990287.1	28332517	720467098	3.93252059374403	ancestral	M1	183
M1	Caradrina_clavipalpis	OW052091.1	17993339	474197171	3.79448467861062	ancestral	M1	183
M1	Diarsia_rubi	OW026415.1	22993970	624929271	3.67945159029045	ancestral	M1	183
M1	Mythimna_separata	CM037045.1	23490534	700250022	3.35459239728521	ancestral	M1	183
M1	Aplocera_efformata	OV121039.1	15043963	349498550	4.30444217865854	ancestral	M1	183
M1	Amphipyra_berbera	OU343124.1	22621865	582305243	3.88488087166339	ancestral	M1	183
M1	Mimas_tiliae	HG995241.1	20895357	477981037	4.37158702595141	ancestral	M1	183
M1	Ypsolopha_scabrella	OU342965.1	31588498	853595150	3.70064169179031	ancestral	M1	183
M1	Xestia_sexstrigata	OW799204.1	23181637	638619631	3.62995997534564	ancestral	M1	183
M1	Pararge_aegeria	LR990893.1	21656862	516586240	4.19230330254248	ancestral	M1	183
M10	Opisthograptis_luteolata	OV928050.1	12025749	363201500	3.31104056563643	ancestral	M10	187
M10	Eueides_isabella	CM032398.1	14606391	440123586	3.31870217016727	ancestral	M10	187
M10	Agriopis_aurantiaria	OU611999.1	16060056	485385411	3.30872243706558	ancestral	M10	187
M10	Phlogophora_meticulosa	LR990534.1	17065631	538659867	3.16816455902775	ancestral	M10	187
M10	Ennomos_quercinarius	OU342506.1	15954380	491884275	3.24352308274136	ancestral	M10	187
M10	Parapoynx_stratiotata	OU342474.1	15837287	478248748	3.31151666705461	ancestral	M10	187
M10	Boloria_selene	HG993149.1	12528241	399917640	3.13270527401592	ancestral	M10	187
M10	Emmelina_monodactyla	OU745318.1	9773330	312410734	3.1283592195651	ancestral	M10	187
M10	Erebia_ligea	OU785239.1	16643629	506397422	3.28667332749573	ancestral	M10	187
M10	Eupsilia_transversa	OU611889.1	14753212	466922763	3.15966861525661	ancestral	M10	187
M10	Manduca_sexta	CM026247.1	13579525	470021481	2.88912859282702	ancestral	M10	187
M10	Campaea_margaritaria	OU538805.1	11207941	335226495	3.34339354650354	ancestral	M10	187
M10	Marasmia_exigua	CM032480.1	24586957	797606974	3.08259052408937	ancestral	M10	187
M10	Laothoe_populi	HG992165.1	18591482	576402658	3.22543307910978	ancestral	M10	187
M10	Xestia_xanthographa	LR990650.1	31690659	933882218	3.39343210409003	ancestral	M10	187
M10	Apotomis_betuletana	OW026315.1	22074449	684240599	3.22612382724165	ancestral	M10	187
M10	Luperina_testacea	OV656772.1	20094807	601512407	3.34071363552107	ancestral	M10	187
M10	Griposia_aprilina	OU744299.1	23310740	720426900	3.23568428663616	ancestral	M10	187
M10	Vanessa_atalanta	LR990566.1	11855676	370436055	3.20046492234672	ancestral	M10	187
M10	Biston_betularia	FR989880.1	13141451	404525905	3.24860554974842	ancestral	M10	187
M10	Mellicta_athalia	HG992194.1	19553016	609564786	3.20770104328172	ancestral	M10	187
M10	Cydia_splendana	OU342887.1	19547813	630621894	3.09976757641719	ancestral	M10	187
M10	Notodonta_ziczac	OU974052.1	11723505	352061436	3.32996000164017	ancestral	M10	187
M10	Idaea_aversata	OU026101.1	14392963	436730885	3.29561372789103	ancestral	M10	187
M10	Spilosoma_lubricipeda	HG992288.1	20447385	587362176	3.48122263153697	ancestral	M10	187
M10	Watsonalla_binaria	OV838934.1	10990123	333062894	3.29971401737715	ancestral	M10	187
M10	Selenia_dentaria	OU862887.1	35319394	1030772253	3.42649832659009	ancestral	M10	187
M10	Aphantopus_hyperantus	LR761667.1	13589526	408137179	3.32964667254683	ancestral	M10	187
M10	Lycaena_phlaeas	HG995182.1	14383905	420484551	3.42079274156258	ancestral	M10	187
M10	Spodoptera_frugiperda	CM021672.1	17724949	485954603	3.64744955404816	ancestral	M10	187
M10	Calamotropha_paludella	OV656821.1	23702627	742481776	3.19235135004849	ancestral	M10	187
M10	Spilarctia_lutea	OU696486.1	19498735	584787352	3.33432912550407	ancestral	M10	187
M10	Hydraecia_micacea	OU611792.1	17597711	562441436	3.12880770754593	ancestral	M10	187
M10	Agonopterix_subpropinquella	OV277710.1	22066234	667905724	3.3037947133988	ancestral	M10	187
M10	Celastrina_argiolus	LR994594.1	17097511	499114119	3.42557149740739	ancestral	M10	187
M10	Melitaea_cinxia	HG992226.1	16663710	499413036	3.33665899742353	ancestral	M10	187
M10	Hyles_vespertilio	CM042822.1	20353206	651427907	3.12439884464452	ancestral	M10	187
M10	Tinea_trinotella	HG992322.1	12698865	371738977	3.41607035734647	ancestral	M10	187
M10	Schrankia_costaestrigalis	FR997837.1	20082482	571991991	3.5109725863277	ancestral	M10	187
M10	Limenitis_camilla	LR990242.1	13858920	435112716	3.18513329773612	ancestral	M10	187
M10	Mimas_tiliae	HG995256.1	15696472	477981037	3.28391103097255	ancestral	M10	187
M10	Euplexia_lucipara	OV179159.1	22131549	661825765	3.34401441745019	ancestral	M10	187
M10	Pheosia_gnoma	FR989910.1	9014616	271350489	3.32212999992051	ancestral	M10	187
M10	Fabriciana_adippe	FR989998.1	15860000	484826487	3.27127341951513	ancestral	M10	187
M10	Spodoptera_litura	CM008392.1	13549330	429567674	3.15417821686461	ancestral	M10	187
M10	Carcina_quercana	OU342440.2	14262518	408897582	3.48804165831433	ancestral	M10	187
M10	Agrochola_circellaris	OU611856.1	18873089	572162832	3.29855208071258	ancestral	M10	187
M10	Dendrolimus_kikuchii	CM034404.1	22321062	705515768	3.16379349865927	ancestral	M10	187
M10	Hedya_salicella	FR990112.1	23063133	742325546	3.10687583423136	ancestral	M10	187
M10	Colias_croceus	HG991975.1	10658465	324912214	3.2804137673938	ancestral	M10	187
M10	Euproctis_similis	LR990121.1	18672856	507648523	3.6783040142914	ancestral	M10	187
M10	Pararge_aegeria	LR990912.1	17150347	516586240	3.31993879666636	ancestral	M10	187
M10	Mythimna_ferrago	OU342688.1	27339883	860988366	3.1754067859263	ancestral	M10	187
M10	Miltochrista_miniata	OW121765.1	33351462	1057002560	3.15528677622124	ancestral	M10	187
M10	Agrotis_puta	OW964183.1	17484634	523321491	3.34108847060516	ancestral	M10	187
M10	Cosmia_trapezina	LR991036.1	26999111	825187588	3.27187555807008	ancestral	M10	187
M10	Acrobasis_suavella	OW971946.1	20461813	647282432	3.16118775798939	ancestral	M10	187
M10	Pammene_fasciana	OU452291.1	18005027	564437882	3.18990407521939	ancestral	M10	187
M10	Agrochola_macilenta	OU753568.1	22346656	683223563	3.27076775600024	ancestral	M10	187
M10	Maniola_jurtina	HG995227.1	13275689	402054102	3.30196581354616	ancestral	M10	187
M10	Zeuzera_pyrina	OU015634.1	22850585	686903256	3.32660892205758	ancestral	M10	187
M10	Phalera_bucephala	LR990625.1	27786440	933147695	2.97771083279587	ancestral	M10	187
M10	Blastobasis_adustella	OU026134.1	16751915	557440016	3.00515114078211	ancestral	M10	187
M10	Noctua_janthe	OU342568.1	18188351	532786062	3.41381884723553	ancestral	M10	187
M10	Synanthedon_vespiformis	OU906963.1	9194236	287400900	3.19909784555302	ancestral	M10	187
M10	Thyatira_batis	LR990501.1	10274293	314798901	3.26376393544017	ancestral	M10	187
M10	Danaus_plexippus_plexippus	CM019199.1	8449262	248676414	3.39769335744081	ancestral	M10	187
M10	Yponomeuta_sedellus	OW203740.1	21299367	657583382	3.23903668843018	ancestral	M10	187
M10	Dryobotodes_eremita	OU823262.1	21647667	709806353	3.0497989921485	ancestral	M10	187
M10	Nymphalis_polychloros	HG992258.1	12546157	398112767	3.15140785223801	ancestral	M10	187
M10	Acronicta_aceris	OU342774.1	14582300	466384436	3.12666951862004	ancestral	M10	187
M10	Protodeltote_pygarga	OW388265.1	13754845	421684553	3.26188021404711	ancestral	M10	187
M10	Zygaena_filipendulae	OU015666.1	11801141	365946273	3.22482885349675	ancestral	M10	187
M10	Ochlodes_sylvanus	FR990142.1	11776845	379686201	3.10173110557684	ancestral	M10	187
M10	Ecliptopera_silaceata	OW052209.1	10486558	316552688	3.31273699372283	ancestral	M10	187
M10	Hesperia_comma	FR990031.1	16113044	525353014	3.06708890414779	ancestral	M10	187
M10	Eulithis_prunata	OU974023.1	8717528	263147802	3.31278769335873	ancestral	M10	187
M10	Habrosyne_pyritoides	OU015601.1	12929813	400568986	3.22786172966471	ancestral	M10	187
M10	Ephestia_elutella	CM031582.1	18381662	576941106	3.18605518116783	ancestral	M10	187
M10	Ectropis_grisescens	CM029785.1	24891381	784886525	3.17133499011211	ancestral	M10	187
M10	Dryas_iulia_moderata	CM032430.1	15309071	440278161	3.47713612803975	ancestral	M10	187
M10	Diarsia_rubi	OW026429.1	19783542	624929271	3.16572497369866	ancestral	M10	187
M10	Glaucopsyche_alexis	FR990057.1	22559857	619543730	3.64136636488921	ancestral	M10	187
M10	Notodonta_dromedarius	LR990175.1	11281688	341992784	3.29880878422277	ancestral	M10	187
M10	Inachis_io	LR989912.1	12249620	384172283	3.18857464269488	ancestral	M10	187
M10	Eupithecia_abbreviata	OX030989.1	12856615	383462667	3.35276836740928	ancestral	M10	187
M10	Plutella_xylostella	OW026570.1	10601444	323337879	3.27875101821893	ancestral	M10	187
M10	Carposina_sasakii	CP053162.1	13536510	399040036	3.39226863943046	ancestral	M10	187
M10	Mythimna_impura	LR990358.1	29318183	949131758	3.08894763586659	ancestral	M10	187
M10	Xylocampa_areola	OW285218.1	18028901	564568605	3.1933941845739	ancestral	M10	187
M10	Leguminivora_glycinivorella	CM041136.1	21949049	657423512	3.33864679302799	ancestral	M10	187
M10	Spodoptera_exigua	CM039393.1	13978508	432125622	3.23482508056419	ancestral	M10	187
M10	Lymantria_monacha	LR991098.1	30866808	915668749	3.37095789647835	ancestral	M10	187
M10	Hylaea_fasciaria	LR990209.1	10842052	327936668	3.30614202617927	ancestral	M10	187
M10	Hypsopygia_costalis	OW443342.1	26847901	816870447	3.28667796694082	ancestral	M10	187
M10	Pheosia_tremula	HG995413.1	9620195	290221673	3.3147748410919	ancestral	M10	187
M10	Ennomos_fuscantarius	HG992040.1	14827317	444925538	3.33253898318599	ancestral	M10	187
M10	Erynnis_tages	LR990089.1	10516433	329358918	3.19300083442708	ancestral	M10	187
M10	Thymelicus_sylvestris	OU426904.1	14874889	470727450	3.15997909193526	ancestral	M10	187
M10	Hecatera_dysodea	HG995303.1	20212904	640911623	3.1537739798487	ancestral	M10	187
M10	Xestia_c-nigrum	OU745259.1	25037238	760318956	3.292991421879	ancestral	M10	187
M10	Carterocephalus_palaemon	OX155655.1	12714529	394538208	3.22263566422444	ancestral	M10	187
M10	Acentria_ephemerella	OW971892.1	11139405	340792766	3.26867413611708	ancestral	M10	187
M10	Bombyx_mori	BHWX01000019.1	14801489	460334017	3.21538023552146	ancestral	M10	187
M10	Macaria_notata	OV656744.1	12661002	393787475	3.21518656732289	ancestral	M10	187
M10	Aricia_artaxerxes	OW569306.1	15169435	458496882	3.30851432049651	ancestral	M10	187
M10	Craniophora_ligustri	LR990973.1	13865833	437993611	3.16576147500015	ancestral	M10	187
M10	Autographa_pulchrina	FR997780.1	12509314	426240943	2.9347987811673	ancestral	M10	187
M10	Euclidia_mi	OX123197.1	71582298	2285329669	3.13225260105788	ancestral	M10	187
M10	Amphipyra_tragopoginis	HG992010.1	26415014	805668602	3.2786450824107	ancestral	M10	187
M10	Atethmia_centrago	HG995379.1	31773998	926655388	3.42889043882622	ancestral	M10	187
M10	Clostera_curtula	FR997812.1	16478070	512681271	3.21409634642183	ancestral	M10	187
